type,n,dims,qbit,rounding,cbit,compile_time,key_time,sk_score,simul_score,fhe_time
classif,25,20,3,5,9,70.28618836402893,1584.680361032486,0.8,0.76,29.950257062911987
classif,25,20,3,6,9,117.20315480232239,1856.7260982990265,0.8,0.76,41.33449077606201
classif,25,20,3,-1,9,62.074851274490356,inf
classif,25,20,3,-1,9,61.07798218727112,inf
classif,25,20,3,3,9,175.7668809890747,1511.102252483368,0.68,0.68,26.321712970733643
classif,25,20,3,7,9,113.67098951339722,2082.7355399131775,0.68,0.64,inf
classif,20,10,3,-1,8,26.54327702522278,1542.8649399280548,0.85,0.8,86.11823296546936
classif,20,15,3,-1,8,27.34315824508667,1557.8851175308228,0.85,0.85,89.280357837677
moon,6,2,3,-1,7,0.8557350635528564,83.12005162239075,0.8333333333333334,0.8333333333333334,4.790204763412476
circle,6,2,3,-1,8,1.1019833087921143,563.1997625827789,0.8333333333333334,0.8333333333333334,12.60567831993103
moon,11,2,3,-1,7,2.62546968460083,128.16677403450012,0.8181818181818182,0.8181818181818182,9.63987421989441
circle,11,2,3,-1,7,3.0744383335113525,128.71708059310913,1.0,1.0,9.626614093780518
classif,20,15,3,6,8,198.06407189369202,720.4015626907349,0.75,0.65,28.18571662902832
classif,20,15,3,7,8,94.56597137451172,2030.8417699337006,0.75,0.7,inf
circle,22,2,3,-1,7,42.071215867996216,173.46210193634033,0.9565217391304348,0.9565217391304348,23.651561498641968
circle,22,2,3,3,7,124.24888467788696,81.98866415023804,0.9565217391304348,0.9565217391304348,8.908560276031494
circle,22,2,3,4,7,259.69273805618286,93.6442482471466,0.9565217391304348,0.9565217391304348,8.607237577438354
circle,22,2,3,5,7,51.78182625770569,147.7545108795166,0.9565217391304348,0.9565217391304348,13.558634281158447
circle,22,2,3,6,7,258.9102325439453,348.16401386260986,0.9565217391304348,0.9565217391304348,27.623939037322998
circle,22,2,3,7,7,261.4811222553253,337.2887463569641,0.9565217391304348,0.9565217391304348,29.03193473815918
